project,commit,path,anchor,semantic_shape,state_owner,paper1_fit,notes
Excalidraw,e1bb9ff8f8931e783c11d104abb8967ac6605c9a,packages/excalidraw/lasso/index.ts,"this.app.setState({ selectedElementIds: {}, selectedGroupIds: {}, selectedLinearElement: null })",multi-target-bundle,application-owned,boundary,"Three related UI-state fields are changed together; Paper 1 can express the member changes but does not claim atomic multi-target ChangeSets."
Excalidraw,e1bb9ff8f8931e783c11d104abb8967ac6605c9a,packages/excalidraw/components/Stats/CanvasGrid.tsx,"return { gridStep: nextGridStep }",single-target-set,application-owned,direct,"A numeric application-state field is replaced by a computed value; this matches the single-target semantic Change architecture."
Excalidraw,e1bb9ff8f8931e783c11d104abb8967ac6605c9a,packages/excalidraw/components/JSONExportDialog.tsx,"setAppState({ errorMessage: error.message })",single-target-set,application-owned,direct,"Single application-state field set from an observed error."
Excalidraw,e1bb9ff8f8931e783c11d104abb8967ac6605c9a,packages/excalidraw/components/UnlockPopup.tsx,"app.setState({ selectedElementIds: ..., selectedGroupIds: ..., activeLockedId: null })",multi-target-bundle,application-owned,boundary,"One React update bundles three related fields. Sequential member Changes can reproduce a final state, but atomic bundle semantics are outside Paper 1."
Excalidraw,e1bb9ff8f8931e783c11d104abb8967ac6605c9a,packages/excalidraw/components/App.viewport.ts,"this.app.setState({ ...viewportUpdate, shouldCacheIgnoreZoom: false })",multi-target-bundle,application-owned,boundary,"Viewport navigation installs a correlated state patch; grouped atomic semantics are not a Paper 1 claim."
VS Code,004a1fbb1658e61048b29d76e2ce380adfa18680,extensions/git/src/autofetch.ts,"this.globalState.update(AutoFetcher.DidInformUser, true)",single-target-set,host-backed,adapter-boundary,"The semantic update is a single-key set, but VS Code Memento is a foreign persistence API and Patch does not claim a certified adapter in Paper 1."
VS Code,004a1fbb1658e61048b29d76e2ce380adfa18680,extensions/git/src/postCommitCommands.ts,"this.globalState.update(this.getGlobalStateKey(), command)",single-target-set,host-backed,adapter-boundary,"Dynamic-key host-state update. The set-like semantic shape is clear; making Patch the actual commit route would require a host adapter outside Paper 1."
VS Code,004a1fbb1658e61048b29d76e2ce380adfa18680,extensions/copilot/src/platform/snippy/common/snippyNotifier.ts,"this.context.globalState.update(SnippyNotifier.CodeReferenceKey, true)",single-target-set,host-backed,adapter-boundary,"Single boolean Memento update."
VS Code,004a1fbb1658e61048b29d76e2ce380adfa18680,extensions/typescript-language-features/src/logging/logLevelMonitor.ts,"this.context.globalState.update(LogLevelMonitor.logLevelChangedStorageKey, new Date())",single-target-set,host-backed,adapter-boundary,"Single-key host-state set with a Date value, outside the currently proved numeric fragment."
VS Code,004a1fbb1658e61048b29d76e2ce380adfa18680,extensions/typescript-language-features/src/ui/suggestNativePreview.ts,"context.globalState.update(suggestNativePreviewStorageKey, true)",single-target-set,host-backed,adapter-boundary,"Single boolean Memento update."
JupyterLab,9312e29b7bbc95ef905b96afe00c93361943f2f6,packages/docmanager/src/recents.ts,"recents.splice(existingIndex, 1)",single-target-remove,application-owned,direct,"Collection removal has an explicit semantic remove interpretation before the containing state is saved."
JupyterLab,9312e29b7bbc95ef905b96afe00c93361943f2f6,packages/docmanager/src/recents.ts,"recents.unshift(recent)",single-target-add,application-owned,direct,"Collection insertion has an explicit semantic add interpretation before persistence."
JupyterLab,9312e29b7bbc95ef905b96afe00c93361943f2f6,packages/docmanager/src/recents.ts,"this._recents[type] = recents.slice(...).sort(...) ",single-target-set,application-owned,direct,"A collection-valued application state target is replaced after local normalization."
JupyterLab,9312e29b7bbc95ef905b96afe00c93361943f2f6,packages/docmanager/src/recents.ts,"this._stateDB.save(Private.stateDBKey, this._recents)",single-target-set,host-backed,adapter-boundary,"The durable commit crosses into the foreign IStateDB API; Paper 1 does not claim that Patch controls this host store."
JupyterLab,9312e29b7bbc95ef905b96afe00c93361943f2f6,packages/filebrowser-extension/src/index.ts,"stateDB.save(SIZES_KEY, accordion.relativeSizes())",single-target-set,host-backed,adapter-boundary,"A list-valued host-state key is persisted through IStateDB."
